        11,        11,     2.079,     2.137,     2.613,     2.554,     8.921,     0.715,     6.220,     4.497,     2.998,     2.061,    12.565,    10.023,     6.548,     6.437,    97.290,    43.880,   236.673,   118.595,    30.468,     6.910,     0.201,     0.725,     0.813,     0.530,     0.452,     0.000,     0.000,     0.000,     0.000,     0.000
        12,        12,    14.968,    50.712,   130.200,   289.590,   245.616,    22.542,    52.175,   105.569,   146.229,   239.040,    88.995,   202.072,   295.270,   661.529,   215.215,    40.815,   985.885,   294.782,    95.887,    25.939,     9.980,    24.793,     1.930,     1.594,     1.618,     0.000,     0.000,     0.000,     0.000,     0.000
        13,        13,    61.581,   127.408,   210.942,   300.492,   487.391,    41.764,   193.261,   267.551,   239.702,   245.806,   368.557,   565.691,   507.232,   716.031,   189.095,    76.013,  1102.298,   346.812,   139.160,    42.456,    14.135,    41.948,     2.230,     2.271,     2.598,     0.000,     0.000,     0.000,     0.000,     0.000
        14,        14,    33.848,    89.447,   192.468,   347.256,   445.197,    38.933,   107.210,   187.181,   218.925,   284.272,   203.998,   399.573,   474.704,   835.308,   100.958,    42.950,   598.792,   183.798,    90.056,    29.897,    13.268,    36.727,     1.166,     1.450,     1.803,     0.000,     0.000,     0.000,     0.000,     0.000
        15,        15,     5.739,    22.848,    72.755,   258.637,   171.354,    16.055,    21.415,    47.321,    81.787,   214.126,    34.280,    86.405,   166.018,   592.952,   155.255,    72.096,   760.024,   251.680,    96.902,    28.962,     6.850,    16.142,     1.522,     1.487,     1.662,     0.000,     0.000,     0.000,     0.000,     0.000
        16,        16,    11.053,    44.697,   142.728,   507.710,   326.863,    30.746,    41.717,    92.402,   160.128,   420.384,    65.947,   166.677,   322.432,  1157.135,   121.921,    21.081,   588.105,   220.626,   101.807,    38.394,    12.691,    29.881,     1.262,     1.476,     2.078,     0.000,     0.000,     0.000,     0.000,     0.000
        17,        17,     0.037,     0.196,     0.626,     2.153,     0.711,     0.078,     0.188,     0.415,     0.720,     1.941,     0.280,     0.682,     1.389,     5.452,    89.269,     5.757,   144.987,    45.919,    19.022,     8.141,     0.053,     0.126,     0.248,     0.260,     0.415,     0.000,     0.000,     0.000,     0.000,     0.000
        18,        18,     1.063,     2.454,     4.729,     7.376,    13.204,     1.166,     3.467,     5.526,     5.867,     6.527,     7.955,    14.356,    15.205,    22.707,   263.437,   112.618,  1665.363,   407.966,   166.800,    42.092,     0.264,     0.900,     2.071,     2.145,     2.011,     0.000,     0.000,     0.000,     0.000,     0.000
        19,        19,     0.791,     2.691,     9.385,    37.167,    27.910,     2.677,     2.975,     6.084,    11.532,    33.137,     5.744,    13.231,    27.666,   106.662,   157.269,    67.707,   606.009,   250.115,    81.869,    22.833,     0.817,     2.222,     1.230,     1.019,     1.055,     0.000,     0.000,     0.000,     0.000,     0.000
        20,        20,    69.660,    89.473,   122.228,   144.903,   379.972,    32.795,   228.185,   203.021,   151.381,   127.106,   513.946,   508.174,   373.160,   435.949,   100.638,    11.840,   443.233,   205.765,   115.257,    50.241,     6.579,    25.350,     0.966,     1.370,     2.212,     0.000,     0.000,     0.000,     0.000,     0.000
        21,        21,    64.118,   113.706,   168.405,   214.652,   485.705,    40.092,   192.103,   237.891,   192.982,   174.631,   391.071,   543.006,   434.408,   537.693,   160.715,    70.023,   705.093,   314.940,   120.458,    42.992,     8.037,    26.964,     1.436,     1.390,     1.836,     0.000,     0.000,     0.000,     0.000,     0.000
        22,        22,    35.722,    68.388,   105.837,   135.470,   371.681,    29.882,   104.463,   140.976,   122.219,   110.960,   229.504,   353.833,   302.007,   369.976,    86.680,    30.710,   314.111,   219.610,   118.559,    52.885,     4.928,    17.533,     0.987,     1.348,     2.225,     0.000,     0.000,     0.000,     0.000,     0.000
        23,        23,     2.174,     6.089,    14.667,    34.728,    65.213,     5.791,     6.335,    12.426,    17.313,    29.223,    14.765,    34.011,    46.880,   100.965,   110.415,    13.435,   500.856,   106.628,    52.451,    14.843,     0.874,     2.887,     0.502,     0.625,     0.656,     0.000,     0.000,     0.000,     0.000,     0.000
