        24,        24,     5.489,    12.021,    30.692,    14.368,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    22.342,    33.720,    48.710,   134.503,    72.040,    29.553,    97.113,    47.594,    15.056,     5.257,     0.000,     0.000,     0.000,     0.000,     0.000,     3.239,     4.233,     0.414,     0.343,     0.367
        25,        25,     6.225,    13.632,    34.808,   114.351,     0.000,     0.000,    47.342,    64.091,    88.656,   312.842,   118.162,   178.333,   257.612,   883.240,   100.626,    12.708,   561.530,   143.926,    72.982,    23.342,     0.000,     0.000,     0.000,     0.000,     0.000,     8.036,    35.289,     1.500,     1.999,     1.972
        26,        26,    16.174,    35.421,    90.442,   288.312,   739.228,     0.000,    55.942,    75.733,   104.760,   172.881,   100.003,   150.927,   218.023,   761.195,   153.713,    34.467,   612.240,   284.401,   102.767,    34.594,     0.000,     0.000,     0.000,     0.000,     0.000,    16.381,    38.731,     2.742,     2.601,     2.691
        27,        27,     7.149,    15.656,    39.974,   143.078,     0.000,     0.000,    26.447,    35.803,    49.527,   111.086,    41.955,    63.319,    91.469,   320.119,    94.873,    54.716,   295.415,   106.195,    48.834,    16.894,     0.000,     0.000,     0.000,     0.000,     0.000,     5.627,     9.465,     0.693,     0.833,     0.873
        28,        28,    15.457,    33.849,    86.428,   273.183,     0.000,     0.000,    81.318,   110.086,   152.281,   315.471,   119.539,   180.412,   260.615,   875.316,   124.701,    96.975,   694.514,   235.502,   108.573,    35.511,     0.000,     0.000,     0.000,     0.000,     0.000,     7.221,    17.896,     1.101,     1.322,     1.300
        29,        29,     7.547,    16.527,    42.200,   157.833,   238.750,     0.000,    64.031,    86.684,   119.909,   470.654,   145.149,   219.063,   316.448,  1119.077,   100.857,    10.578,   790.630,   221.274,   115.711,    36.450,     0.000,     0.000,     0.000,     0.000,     0.000,     2.732,    14.161,     0.653,     0.888,     0.834
        30,        30,     0.044,     0.097,     0.249,     0.312,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    25.028,    37.773,    54.565,   198.571,    61.944,     0.000,   126.742,    17.151,    11.314,     3.998,     0.000,     0.000,     0.000,     0.000,     0.000,     0.347,     1.315,     0.038,     0.065,     0.068
        31,        31,     0.241,     0.528,     1.348,     7.391,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    44.009,    66.420,    95.948,   349.166,    61.691,     1.439,   205.805,    45.740,    27.198,     9.401,     0.000,     0.000,     0.000,     0.000,     0.000,     0.339,     1.897,     0.085,     0.131,     0.134
        32,        32,     6.668,    14.602,    37.283,    71.627,   859.954,     0.000,    21.924,    29.681,    41.057,    84.901,    55.992,    84.505,   122.072,   444.235,    97.455,     3.700,   379.686,   112.139,    44.646,    13.862,     0.000,     0.000,     0.000,     0.000,     0.000,     1.189,     5.296,     0.210,     0.217,     0.200
        33,        33,     7.043,    15.423,    39.381,    53.447,   399.426,     0.000,    20.379,    27.588,    38.163,    89.313,    55.174,    83.269,   120.287,   429.402,    86.096,     2.879,   332.305,   108.604,    51.850,    18.550,     0.000,     0.000,     0.000,     0.000,     0.000,     1.045,     3.967,     0.202,     0.251,     0.266
        34,        34,     9.965,    21.822,    55.719,    76.913,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    48.572,    73.306,   105.895,   382.000,    65.985,     1.511,   229.953,   143.563,    82.613,    35.541,     0.000,     0.000,     0.000,     0.000,     0.000,     1.365,     2.351,     0.298,     0.445,     0.570
        35,        35,     1.281,     2.805,     7.162,    25.561,     0.000,     0.000,     6.668,     9.027,    12.487,    26.578,    25.631,    38.683,    55.880,   189.055,    73.164,    13.489,   131.254,    31.270,    10.943,     2.994,     0.000,     0.000,     0.000,     0.000,     0.000,     0.688,     1.589,     0.073,     0.067,     0.054
        36,        36,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    23.310,    35.181,    50.820,   184.942,    71.416,     0.000,   114.463,     9.936,     6.578,     2.305,     0.000,     0.000,     0.000,     0.000,     0.000,     0.415,     1.276,     0.023,     0.040,     0.041
        37,        37,     2.637,     5.774,    14.744,     1.127,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    31.687,    47.823,    69.083,   152.484,    67.140,    20.656,   124.110,    33.334,    12.599,     3.799,     0.000,     0.000,     0.000,     0.000,     0.000,     0.732,     1.806,     0.101,     0.099,     0.089
        38,        38,     4.905,    10.741,    27.426,    40.621,   376.796,     0.000,     0.000,     0.000,     0.000,     0.000,    19.181,    28.948,    41.818,   151.097,    83.939,     0.504,   189.256,    47.981,    13.508,     3.756,     0.000,     0.000,     0.000,     0.000,     0.000,     1.213,     2.840,     0.126,     0.092,     0.076
        39,        39,     2.672,     5.851,    14.940,    48.326,     0.000,     0.000,    37.199,    50.359,    69.661,    47.545,    61.106,    92.223,   133.221,   444.022,    61.761,     1.128,   268.690,    99.619,    61.259,    24.355,     0.000,     0.000,     0.000,     0.000,     0.000,     1.371,     5.878,     0.368,     0.589,     0.701
